,LSAT percentile,,,,,,,,
,0-30,31-40,41-50,51-60,61-70,71-80, 81-90,91-99,totals
GPA,,,,,,,,,
>3.75,7-0,7-0,13-3,18-0,34-1,71-9,151-36,449-345,750-394
3.75,21-1,26-4,38-6,54-0,94-0,206-14,358-19,791-436,1588-480
3.50,57-4,37-4,53-5,65-2,136-5,228-8,369-6,798-148,1743-182
3.25,88-0,59-5,61-0,96-5,131-8,193-7,289-12,504-44,1421-81
3.00,93-0,46-0,46-0,53-0,79-1,89-3,122-2,204-7,732-13
<2.75,174-0,55-0,44-0,51-0,53-0,74-0,80-0,113-2,644-2
totals,440-5,230-13,255-14,337-7,527-15,861-41,1369-75,2859-982,6878-1152
